Nordic
39038.91222
41119.65628
39953.28142
39127.37379
40856.06874
47577.55102
53815.78947
58938.17401
62533.94737
65534.4522
67774.94629
70483.30827
74749.0333
80512.81418
86291.971
92400.61224
96262.16971
98160
93661.43931
84137.14286
75243.25994
69455.31686
63304.94092
58595.5102
